slug,title,collection,url_path,total_score,score_A_answer,score_B_schema,score_C_extract,score_D_entity,score_E_fresh,has_tldr,has_faq,has_schema_type,schema_types_found,has_table,avg_paragraph_length,question_headings_count,last_updated,word_count,top_fix_1,top_fix_2,top_fix_3
nusa-dua-manarai-beach-house-guide,Nusa Dua最棒的海灘俱樂部│Nusa Dua攻略│南灣區必玩│Manarai Beach House,blog,/blog/nusa-dua-manarai-beach-house-guide/,47.7,14.7,13,7,13,0,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,58,0,2019-07-15,671,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,開頭150字內補直接回答段：針對「Nusa Dua最棒的海灘俱樂部│Nusa Dua」先給結論（推薦名單/價格區間/具體做法），再展開細節
bali-collection-nusa-dua-shopping,峇里島努沙杜瓦購物中心 Bali Collection：晚餐與採購一站式完成、SPA 體驗與現場音樂表演推薦,blog,/blog/bali-collection-nusa-dua-shopping/,48,9,14,7,13,5,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,72,0,2026-05-26,288,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
tanjung-benoa-atlichnaya-restaurant,峇里島/南灣區Tanjung Benoa最棒的高性價比平價餐廳 Atlichnaya,blog,/blog/tanjung-benoa-atlichnaya-restaurant/,52,15,13,9,13,2,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,69,0,2019-08-25,279,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
bali-souvenir-snacks-guide,峇里島推薦必買伴手禮：零食/食品篇,blog,/blog/bali-souvenir-snacks-guide/,51.5,19.5,13,7,11,1,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,113,0,2019-09-02,352,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,補明確格式的關鍵資訊：價格（Rp數字）、營業/所需時間、地址或Google Maps地點名
bali-boutique-hotels-under-30,"CP值超高, 不到美金$30入住11間巴里島精品酒店, 網美照拍不停!",blog,/blog/bali-boutique-hotels-under-30/,41,9,7,11,11,3,callout-only,no,partial,Article|BreadcrumbList,no,58,0,2020-01-30,2789,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,文內無Agoda連結(hid)可對應飯店實體，補上飯店Agoda連結+跑fetch-hotel-data.mjs才會有Hotel schema
ubud-aloha-swing-photo-tips,推薦峇里島烏布必去網紅美照盪鞦韆｜網美仙氣美照如何拍？｜Aloha Ubud Swing 免排隊！,blog,/blog/ubud-aloha-swing-photo-tips/,40.5,9.5,13,7,11,0,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,68,0,2020-10-12,391,開頭150字內補直接回答段：針對「推薦峇里島烏布必去網紅美照盪鞦韆｜網美仙氣美照如何」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
kuta-beginner-surfing-experience,峇里島庫塔衝浪推薦｜Bali Kuta Surfing for Beginner｜小傑的巴里島衝浪初體驗｜內有沖浪優惠券,blog,/blog/kuta-beginner-surfing-experience/,34,0,12,7,13,2,no,no,yes,Article|BreadcrumbList|LocalBusiness,no,52,0,2020-10-12,466,開頭150字內補直接回答段：針對「峇里島庫塔衝浪推薦｜Bali Kuta Surfi」先給結論（推薦名單/價格區間/具體做法），再展開細節,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出
tegenungan-waterfall-ubud-guide,巴里島遊記｜你所不知道的印尼峇里島瀑布秘密！｜烏布景點老司機帶路 賞瀑布免鐵腿｜離烏布最近的瀑布 Tegenungan Waterfall（繁/简/Eng Sub）,blog,/blog/tegenungan-waterfall-ubud-guide/,50,15,13,9,11,2,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,61,0,2020-10-21,329,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
kanto-lampo-waterfall-ig-spot,峇里島瀑布美照怎麼能錯過這裡？Kanto Lampo Waterfall｜IG 烏布瀑布｜蛇皮果如何挑選？｜最後有心得/祕技分享不要漏掉喔！,blog,/blog/kanto-lampo-waterfall-ig-spot/,47,15,13,7,11,1,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,92,0,2020-11-06,279,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
tukad-cepung-waterfall-review,峇里島的這一個仙境瀑布值得去嗎？Tukad Cepung Waterfall｜巴里島遊記烏布景點｜Tukat Cepung瀑布探密,blog,/blog/tukad-cepung-waterfall-review/,46,9,13,9,13,2,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,71,0,2020-11-14,227,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
lempuyang-temple-gate-of-heaven,Lempuyang 天空之門深度攻略｜倒影是手機螢幕？六座廟怎麼走？費用路線全攤開,blog,/blog/lempuyang-temple-gate-of-heaven/,75.2,15.3,18,19.9,15,7,callout-only,section-only,yes,Article|BreadcrumbList|LocalBusiness,yes,50,5,2026-05-18,6239,開頭150字內補直接回答段：針對「Lempuyang 天空之門深度攻略｜倒影是手機螢」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
ubud-bale-udang-monkey-forest,烏布熱門景點介紹：峇里島發呆亭 Bale Udang、猴子森林、烏布皇宮、烏布市場,blog,/blog/ubud-bale-udang-monkey-forest/,39,5,13,7,13,1,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,60,0,2021-01-14,299,開頭150字內補直接回答段：針對「烏布熱門景點介紹：峇里島發呆亭 Bale Udan」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」
bali-motorbike-vs-private-car,峇里島自由行租摩托車好/包車好？峇里島交通｜峇里島庫塔區怎麼玩？怎麼逛？庫塔美食介紹｜巴里島司機推薦｜烤豬飯推薦,blog,/blog/bali-motorbike-vs-private-car/,47,11,11,7,10,8,callout-only,no,partial,Article|BreadcrumbList,no,56,0,2026-05-26,464,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
taman-tukad-korea-dempasar,"峇里島新景點｜Taman Tukad Korea 韓國河濱公園｜청계천｜Taman Kumbasari in Denpasar, Bali",blog,/blog/taman-tukad-korea-dempasar/,40,4,13,9,13,1,no,no,yes,Article|BreadcrumbList|LocalBusiness,no,64,0,2022-03-03,323,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」
bali-pasar-kreneng-night-market,【深入巴里島】峇里島夜市街頭小吃｜巴里島夜市 Pasar Kreneng 是峇里島最大的夜市｜有什麼是巴厘岛夜市美食必吃的、必買的，請看峇里島推薦,blog,/blog/bali-pasar-kreneng-night-market/,53,19,13,9,11,1,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,49,0,2022-03-03,508,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
kumbasari-art-market-shopping,巴里島旅遊購物哪裡最便宜？巴里島購物推薦｜峇里島自由行行程｜巴里島最大藝術批發市場 Kumbasri Art Market,blog,/blog/kumbasari-art-market-shopping/,45,13,13,7,9,3,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,82,0,2022-03-03,516,開頭150字內補直接回答段：針對「巴里島旅遊購物哪裡最便宜？巴里島購物推薦｜峇里島自」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
bali-travel-tips-guide,峇里島旅遊攻略：怎麼辦網路？如何換匯？雨季可以去嗎？交通如何安排？如何購物殺價？善用Gojek教學,blog,/blog/bali-travel-tips-guide/,41.5,13.5,9,7,8,4,callout-only,no,partial,Article|BreadcrumbList,no,61,0,2022-12-05,646,文末加「常見問題」H2區塊（3-5題問答），此分類會自動產FAQPage schema,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱
indonesia-bali-visa-evoa-faq,2025最新版印尼/峇里島入境簽證&電子簽證eVoA 填寫相關 FAQ,blog,/blog/indonesia-bali-visa-evoa-faq/,40,9,10,7,8,6,callout-only,no,partial,Article|BreadcrumbList,no,33,0,2026-05-26,153,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
spa,【精華篇】峇里島好評SPA推薦、到府按摩大集合 用區域劃分更方便查找,blog,/blog/spa/,61.4,16.4,14,9,13,9,callout-only,no,yes,Article|BreadcrumbList|TouristDestination|Article/TravelAction,no,38,0,2026-05-03,984,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
canggu-guide,【2026 長谷攻略】Canggu 旅遊地圖 100 選：網美咖啡廳、衝浪秘境與最潮市集全收錄,blog,/blog/canggu-guide/,70.2,21.1,15,12.1,13,9,callout-only,no,yes,Article|BreadcrumbList|TouristDestination|Article/TravelAction,no,68,0,2026-05-26,7491,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
bali-travel-essentials,峇里島旅行要帶什麼？必備的21項物品,blog,/blog/bali-travel-essentials/,40.3,15.3,9,7,8,1,callout-only,no,partial,Article|BreadcrumbList,no,79,1,2023-02-12,547,文末加「常見問題」H2區塊（3-5題問答），此分類會自動產FAQPage schema,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱
bali-family-travel-guide,【2026 峇里島親子遊】100+ 親子友善景點與活動大全：帶小孩玩遍全島最強攻略,blog,/blog/bali-family-travel-guide/,54.1,12.4,8,15.7,13,5,callout-only,no,partial,Article|BreadcrumbList|TouristDestination|Article/TravelAction|LocalBusiness,no,75,1,2023-03-05,8917,開頭150字內補直接回答段：針對「【2026 峇里島親子遊】100+ 親子友善景點與」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,缺Hotel schema：hotel-cache.json是空的，跑scripts/fetch-hotel-data.mjs補快取即可自動輸出（layout層一次解決）
bali-top-10-foods,【峇里島美食推薦】Top 10 必吃在地特色美食指南：從髒鴨飯、烤豬飯到網美餐廳防坑避雷,blog,/blog/bali-top-10-foods/,55,17,13,12,11,2,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,57,0,2023-05-02,545,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,開頭150字內補直接回答段：針對「【峇里島美食推薦】Top 10 必吃在地特色美食指」先給結論（推薦名單/價格區間/具體做法），再展開細節,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
indonesia-bali-entry-rules,搭機入境印尼/峇里島最新疫苗規定/入境規定 （六月九日更新）,blog,/blog/indonesia-bali-entry-rules/,43.4,12,12,8.4,8,3,no,section-only,partial,Article|BreadcrumbList,no,60,0,2023-06-20,609,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱,開頭150字內補直接回答段：針對「搭機入境印尼/峇里島最新疫苗規定/入境規定 （六月」先給結論（推薦名單/價格區間/具體做法），再展開細節
ubud-waterfalls-guide,峇里島烏布附近的三大知名瀑布攻略：Tegenungan瀑布、Kanto Lampo瀑布和Tukad Cepung瀑布,blog,/blog/ubud-waterfalls-guide/,53,17,13,9,11,3,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,37,0,2023-07-19,1079,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,開頭150字內補直接回答段：針對「峇里島烏布附近的三大知名瀑布攻略：Tegenung」先給結論（推薦名單/價格區間/具體做法），再展開細節
bali-safari-night-stay,巴里島親子遊不能錯過：峇里島動物園 Bali Safari 要怎麼玩樂、夜宿攻略,blog,/blog/bali-safari-night-stay/,56,13,14,12,13,4,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,35,0,2023-07-25,1652,開頭150字內補直接回答段：針對「巴里島親子遊不能錯過：峇里島動物園 Bali Sa」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
bali-honeymoon-resorts-guide,峇里島蜜月住宿推薦 2026｜20 間浪漫 Villa 與度假村懶人包 - Go Bali Go,blog,/blog/bali-honeymoon-resorts-guide/,57.6,19.1,8,8.5,13,9,callout-only,no,partial,Article|BreadcrumbList,no,63,0,2025-10-12,3814,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,缺Hotel schema：hotel-cache.json是空的，跑scripts/fetch-hotel-data.mjs補快取即可自動輸出（layout層一次解決）,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
bumbu-bali-restaurant,峇里島/南灣區必吃美食餐廳 Bumbu Bali,blog,/blog/bumbu-bali-restaurant/,45,11,13,12,8,1,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,22,0,2023-08-15,135,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱
bali-souvenir-food-guide,峇里島推薦必買伴手禮：零食/食品篇,blog,/blog/bali-souvenir-food-guide/,34,0,13,7,11,3,no,no,yes,Article|BreadcrumbList|LocalBusiness,no,62,0,2023-08-15,321,開頭150字內補直接回答段：針對「峇里島推薦必買伴手禮：零食/食品篇」先給結論（推薦名單/價格區間/具體做法），再展開細節,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出
bali-best-villas-top20-part1,峇里島高 CP 值 Villa 推薦（上集）2026｜20 間精選別墅完整比較 - Go Bali Go,blog,/blog/bali-best-villas-top20-part1/,42,5,7,13,13,4,callout-only,no,partial,Article|BreadcrumbList,no,42,0,2023-08-15,2933,開頭150字內補直接回答段：針對「峇里島高 CP 值 Villa 推薦（上集）202」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」
bali-best-villas-top20-part2,峇里島高 CP 值 Villa 推薦（下集）2026｜20 間精選別墅完整比較 - Go Bali Go,blog,/blog/bali-best-villas-top20-part2/,55,15,7,13,15,5,callout-only,no,partial,Article|BreadcrumbList,no,38,0,2023-08-15,2849,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,文內無Agoda連結(hid)可對應飯店實體，補上飯店Agoda連結+跑fetch-hotel-data.mjs才會有Hotel schema
bali-travel-tips,【峇里島旅遊指南】新手必看 8 大注意事項：飲水安全、電壓插頭、文化禁忌與防坑建議,blog,/blog/bali-travel-tips/,59,18,20,10,6,5,callout-only,yes,yes,Article|BreadcrumbList|FAQPage|LocalBusiness,no,48,0,2025-08-15,832,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱,補明確格式的關鍵資訊：價格（Rp數字）、營業/所需時間、地址或Google Maps地點名,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
seminyak-guide,【2026 水明漾攻略】100 個必去地點地圖：精品購物、網美咖啡廳與 SPA 全收錄,blog,/blog/seminyak-guide/,56.2,10.8,14,11.4,11,9,callout-only,no,yes,Article|BreadcrumbList|TouristDestination|Article/TravelAction,no,71,0,2025-08-15,6764,開頭150字內補直接回答段：針對「【2026 水明漾攻略】100 個必去地點地圖：精」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
nusa-penida-guide,【峇里島 - Nusa Penida 佩尼達島全攻略】地圖、搭船、住宿、交通、包車、活動、攝影、景點,blog,/blog/nusa-penida-guide/,62.7,22,15,11.7,9,5,callout-only,no,yes,Article|BreadcrumbList|TouristDestination|Article/TravelAction,no,39,4,2023-08-16,3470,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
travel-shopping-safety,旅行購物必知：安全又便利的消費指南,blog,/blog/travel-shopping-safety/,33,8,8,7,8,2,no,no,partial,Article|BreadcrumbList,no,72,0,2023-08-16,766,開頭150字內補直接回答段：針對「旅行購物必知：安全又便利的消費指南」先給結論（推薦名單/價格區間/具體做法），再展開細節,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」H2區塊（3-5題問答），此分類會自動產FAQPage schema
seminyak-budget-hotels-guide,水明漾平價住宿推薦 2026｜10 間 Seminyak 精華區高 CP 值好評飯店 - Go Bali Go,blog,/blog/seminyak-budget-hotels-guide/,53.4,15.4,8,11,15,4,callout-only,no,partial,Article|BreadcrumbList,no,86,0,2023-08-19,1960,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,缺Hotel schema：hotel-cache.json是空的，跑scripts/fetch-hotel-data.mjs補快取即可自動輸出（layout層一次解決）,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
gojek-bali-guide,在印尼/峇里島旅行，一定要下載的APP：Gojek全攻略,blog,/blog/gojek-bali-guide/,44.4,10.5,11,7.9,8,7,callout-only,no,partial,Article|BreadcrumbList,no,75,0,2026-05-26,868,開頭150字內補直接回答段：針對「在印尼/峇里島旅行，一定要下載的APP：Gojek」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
indonesia-e-cd-guide,入境印尼必填電子報關單e-CD說明,blog,/blog/indonesia-e-cd-guide/,53.3,21.3,9,10,11,2,callout-only,no,partial,Article|BreadcrumbList,no,56,1,2023-08-20,478,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,補明確格式的關鍵資訊：價格（Rp數字）、營業/所需時間、地址或Google Maps地點名,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
sanur-travel-map,探索峇里島獨特魅力：Sanur沙努爾攻略地圖,blog,/blog/sanur-travel-map/,49,13,14,7,13,2,callout-only,no,yes,Article|BreadcrumbList|TouristDestination,no,74,0,2023-08-21,884,開頭150字內補直接回答段：針對「探索峇里島獨特魅力：Sanur沙努爾攻略地圖」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
bali-honeymoon-romantic-activities,峇里島度蜜月/情人共遊，十大創造浪漫活動推薦！,blog,/blog/bali-honeymoon-romantic-activities/,43,8.8,12,8.2,11,3,no,no,yes,Article|BreadcrumbList,no,94,0,2023-08-21,2158,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
